export_country,import_country,value_thousand_USD,quantity_metric_tons,year
Bahrain,United Kingdom,2.813,0.033,2018
Barbados,Antigua and Barbuda,10.134,4.5809999999999995,2018
Barbados,Canada,4.289,1.167,2018
Barbados,Dominica,11.931,5.473,2018
Barbados,Grenada,35.769999999999996,4.643999999999999,2018
Barbados,Guyana,40.439,2.3409999999999997,2018
Barbados,Jamaica,101.522,14.762,2018
Barbados,Japan,16.494,0.115,2018
Barbados,Morocco,6.438,1.6909999999999998,2018
Barbados,Saint Lucia,268.941,52.467,2018
Barbados,Saint Vincent and the Grenadines,61.735,9.990000000000002,2018
Barbados,Trinidad and Tobago,34.101,2.71,2018
Barbados,USA,65.759,4.796,2018
Barbados,United Kingdom,4.1739999999999995,1.4540000000000002,2018
Belarus,Armenia,12.4999993139082,17.6193662350994,2018
Belarus,Azerbaijan,14.399976473684308,7.814,2018
Belarus,China,7.44,4.32,2018
Belarus,"China, Hong Kong SAR",13.0,8.196,2018
Belarus,Estonia,44.300107416032105,44.7903970456437,2018
Belarus,Georgia,39.7,51.182,2018
Belarus,Hungary,17.79,7.561,2018
Belarus,Israel,111.000862380997,25.225,2018
Belarus,Kazakhstan,284.2003345137517,223.65308612229717,2018
Belarus,Kyrgyzstan,101.91400000000002,79.919,2018
Belarus,Lithuania,44.7001048894977,55.7092734210797,2018
Belarus,Mongolia,103.70138558028799,129.467689251748,2018
Belarus,Nigeria,18.0,14.254000000000001,2018
Belarus,Rep. of Moldova,12.2035802843038,24.0611187007752,2018
Belarus,Russian Federation,44.7999926529694,57.5580003084313,2018
Belarus,Tajikistan,20.1,18.544,2018
Belarus,Turkmenistan,130.9,108.395,2018
Belarus,USA,132.700310902595,93.77935488193121,2018
Belarus,Ukraine,1830.0,1882.5810000000001,2018
Belarus,Viet Nam,64.2,67.569,2018
Belgium-Luxembourg,Andorra,6.136420557825709,0.1981174829508948,2018
Belgium-Luxembourg,Angola,32.946169273452696,2.5147748583680682,2018
Belgium-Luxembourg,Armenia,36.693,5.2700000000000005,2018
Belgium-Luxembourg,Australia,68.3849068288419,6.98216825968636,2018
Belgium-Luxembourg,Austria,263.842995696267,31.106395732733194,2018
Belgium-Luxembourg,Azerbaijan,454.662,26.151,2018
Belgium-Luxembourg,Bangladesh,15.847000000000001,7.65,2018
Belgium-Luxembourg,Barbados,6.885473431522129,0.8681356372637594,2018
Belgium-Luxembourg,Benin,18.492289808724532,2.2051936609793,2018
Belgium-Luxembourg,Brazil,67.47560890668831,17.74225056036213,2018
Belgium-Luxembourg,Bulgaria,153.6807455218554,17.058612581067187,2018
